DATE,DA-24(kWh),DA-DT(kWh),DA-PT(kWh),TTV(kWh)
4/1/2025,14.37,14.97,13.7,696542200
4/2/2025,12.62,12.4,10.72,692506550
4/3/2025,13.45,13.28,11.13,720719200
4/4/2025,11.62,10.33,8.38,735519050
4/5/2025,10.43,9.23,7.82,697476800
4/6/2025,9,7.2,5.01,659639750
4/7/2025,9.65,8.1,5.39,716456600
4/8/2025,9.95,8.64,6.76,716571450
4/9/2025,9.92,8.39,5,723698500
4/10/2025,12.72,13.06,13.14,662364400
4/11/2025,10.5,9.36,7.93,686229350
4/12/2025,8.51,6.59,3.28,673246000
4/13/2025,10.08,9.5,7.09,614499150
4/14/2025,10.13,9.68,7.69,690059000
4/15/2025,11.1,10.88,8.38,705239600
4/16/2025,8.64,6.7,2.19,730155050
4/17/2025,7.62,5.43,1.21,710202850
4/18/2025,9.75,9.02,7.6,702245700
4/19/2025,6.45,4.53,1.01,692626850
4/20/2025,8.38,8.25,6.87,660630350
4/21/2025,7.55,6.33,2.47,729405600
4/22/2025,10.02,9.96,8.91,716383300
4/23/2025,12.86,14.53,14.77,669190650
4/24/2025,9.47,8.81,7.08,706508250
4/25/2025,10.12,9.84,8.35,696217450
4/26/2025,6.61,4.26,0.18,681786450
4/27/2025,6.62,5.24,1.81,663649750
4/28/2025,11.37,11.55,11.21,656768450
4/29/2025,7.32,5.27,0.51,676369700
4/30/2025,7.89,6.41,2.96,702591450
5/1/2025,9.89,8.45,7.42,690417700
5/2/2025,11.17,11.05,10.36,627319200
5/3/2025,7.05,5.22,0.18,657848700
5/4/2025,6.51,4.6,0.01,654786350
5/5/2025,6.36,4.58,0.52,649806200
5/6/2025,11.06,11.82,11.98,633610200
5/7/2025,8.39,7.1,3.01,702343550
5/8/2025,7.98,6.46,3.61,716951150
5/9/2025,11.4,12.01,12.88,667567200
5/10/2025,8.56,7.68,4.2,642371800
5/11/2025,7.87,7.45,6.94,662323700
5/12/2025,8.82,8.74,7.2,679482400
5/13/2025,6.88,5.33,1.58,726138800
5/14/2025,8.14,7.29,5.89,711618750
5/15/2025,9.03,8.95,7.76,703439050
5/16/2025,9.93,10.11,9.27,700448950
5/17/2025,10.28,10.49,9.4,636258000
5/18/2025,7.36,6.51,6.33,668534500
5/19/2025,8.88,9.01,8,687276100
5/20/2025,9.68,9.91,8.09,730702200
5/21/2025,11.89,13.05,13.72,706350650
5/22/2025,11.24,11.73,10.85,680410950
5/23/2025,8.3,7.7,6.98,705451400
5/24/2025,9.59,10.23,10.82,618501500
5/25/2025,7.41,6.83,1.93,626178500
5/26/2025,8.13,7.86,7.23,687668950
5/27/2025,8.8,8.11,7.39,658442700
5/28/2025,8.33,7.45,6.12,690330100
5/29/2025,10.19,10.59,10.9,676307150
5/30/2025,10.31,11.27,11.25,632583900
5/31/2025,7.14,5.81,2.65,640056550
6/1/2025,5.92,4.45,0.51,644394000
6/2/2025,9.42,10,10.82,701647350
6/3/2025,12.98,14.65,16,655064300
6/4/2025,8.27,6.7,3.34,740670800
6/5/2025,6.18,4.85,1.02,744806050
6/6/2025,8.37,7.65,7.17,736391100
6/7/2025,7.54,6.52,4.07,705883350
6/8/2025,8.24,8.53,7.61,680527400
6/9/2025,9.51,10.4,11.24,688499400
6/10/2025,11.64,13.36,13.81,685090500
6/11/2025,12.58,14.18,15.36,684759800
6/12/2025,9.89,10.16,9.85,729631050
6/13/2025,9.02,9.37,9.08,719990150
6/14/2025,9.53,10.03,10.04,654657550
6/15/2025,8.68,8.85,6.34,675394200
